alignment,dist,ecfp4,daylight,maj,min,hyb,sub
COc1cc(c(cc1Cl)NC(=O)Nc2cc(on2)C)OC 1753799,0,1.0,1.0,0,0,0,0
COc1cc(c(cc1NC(=O)Nc2cc(on2)C)Cl)Cl 191313693,2,0.895833333333333,0.875816993464052,1,0,0,0
COc1cc(c(cc1NC(=O)Nc2cc(on2)C)C)Cl 41462290,3,0.792452830188679,0.795031055900621,2,0,0,0
COc1cc(c(cc1Br)NC(=O)Nc2cc(on2)C)OC 122392376,1,0.735849056603773,0.8375,0,1,0,0
COc1cc(c(cc1F)NC(=O)Nc2cc(on2)C)OC 38923186,1,0.735849056603773,0.846153846153846,0,1,0,0
COc1cc(c(cc1NC(=O)Nc2cc(on2)C)C)C 664316572,2,0.73076923076923,0.742331288343558,1,0,0,0
CCc1cc(no1)NC(=O)Nc2cc(c(cc2OC)OC)Cl 135970190,1,0.727272727272727,0.906832298136646,0,0,0,1
COc1cc(c(cc1Cl)NCC(=O)Nc2cc(on2)C)OC 52891529,1,0.696428571428571,0.586021505376344,0,0,0,0
COc1cc(c(cc1Cl)NC(=O)NCc2cc(on2)C)OC 67558916,1,0.696428571428571,0.564766839378238,0,0,0,0
COc1ccc(c(c1)OC)NC(=O)Nc2cc(on2)C 17007705,1,0.685185185185185,0.897260273972602,0,0,0,1
COc1cc(c(cc1NC(=O)Nc2cc(on2)C)Br)C 185208392,2,0.666666666666666,0.729411764705882,0,1,0,0
COc1cc(c(cc1Cl)NC(=O)c2cc(on2)C)OC 1052198,1,0.666666666666666,0.47783251231527,0,0,0,0
COc1cc(c(cc1NC(=O)Nc2cc(on2)C)Br)F 1214140344,3,0.655172413793103,0.735294117647058,1,1,0,0
COc1cc(ccc1NC(=O)Nc2cc(on2)C)SC 194061366,2,0.637931034482758,0.72189349112426,0,1,0,1
COc1cc(c(cc1Cl)NC(=O)Nc2cc(n(n2)C)C)OC 342077561,2,0.637931034482758,0.577319587628865,1,0,0,0
COc1cc(c(cc1Cl)NC(=O)Nc2cc[nH]n2)OC 175818406,2,0.636363636363636,0.621301775147929,1,0,0,1
COc1cc(c(cc1Cl)NC(=O)Cc2cc(on2)C)OC 172011451,1,0.631578947368421,0.444976076555023,1,0,0,0
